,Activity ID,Activity Date,Activity Name,Activity Type,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Elapsed Time.1,Moving Time,Max Heart Rate.1,Average Heart Rate,Relative Effort.1
0,11622514395,2024-05-13,Morning Row,Rowing,6689,0,183.0,111.0,6689.0,6689.0,183.0,139.7833709716797,111.0
1,11623158811,2024-06-10,Afternoon Ride,Ride,6042,27.32,165.0,47.0,6042.0,5426.0,165.0,132.49362182617188,47.0
2,11626676905,2024-06-11,Morning Row,Rowing,2250,0,181.0,18.0,2250.0,2250.0,181.0,126.61377716064452,18.0
3,11630662333,2024-06-11,Afternoon Row,Rowing,4568,0,181.0,129.0,4568.0,4568.0,181.0,152.69046020507812,129.0
4,11634907537,2024-06-12,Morning Row,Rowing,3713,"5,590",138.0,12.0,3713.0,3682.0,138.0,112.80552673339844,12.0
5,11642920083,2024-06-13,Evening Workout,Workout,1647,0,162.0,11.0,1647.0,1647.0,162.0,131.6982421875,11.0
6,11642920106,2024-06-12,Afternoon Row,Rowing,872,0,160.0,16.0,872.0,872.0,160.0,145.55963134765625,16.0
7,11642933487,2024-06-13,Morning Row,Rowing,2553,"4,016",167.0,24.0,2553.0,2537.0,167.0,135.19912719726562,24.0
8,11825074114,2024-07-06,Afternoon Weights,Workout,3600,0,,,3600.0,3600.0,,,
9,11825468511,2024-07-06,Afternoon Hike,Hike,4981,4.19,145.0,12.0,4981.0,3713.0,145.0,114.1265640258789,12.0
10,11833608973,2024-07-07,Afternoon Erg + Bike :),Workout,4800,12.00,,,4800.0,4800.0,,,
11,11842202825,2024-07-09,Kickboxing!!,Workout,3690,0,176.0,88.0,3690.0,3690.0,176.0,152.5533905029297,88.0
12,11845852779,2024-07-02,Morning Row,Rowing,2505,"6,447",166.0,32.0,2505.0,2466.0,166.0,140.3528289794922,32.0
13,11845852786,2024-07-09,Morning Row,Rowing,3003,"5,936",173.0,35.0,3003.0,2987.0,173.0,134.57107543945312,35.0
14,11845854658,2024-06-19,Morning Row,Rowing,477422,"4,819",163.0,32.0,477422.0,2707.0,163.0,136.29574584960938,32.0
15,11850513297,2024-07-09,Evening Stand Up Paddling,Stand Up Paddling,7809,1.76,,,7809.0,1871.0,,,
16,11854064314,2024-07-10,Morning Row,Rowing,3340,"5,537",166.0,20.0,3340.0,3300.0,166.0,124.85831451416016,20.0
17,11858663022,2024-07-10,First eva barre class!!,Workout,3601,0,168.0,36.0,3601.0,3601.0,168.0,134.86419677734375,36.0
18,11862357811,2024-07-11,Morning Row,Rowing,2698,"5,060",170.0,31.0,2698.0,2608.0,170.0,137.4475555419922,31.0
19,11874169275,2024-07-12,Kickboxing!,Workout,3495,0,168.0,32.0,3495.0,3495.0,168.0,134.5050048828125,32.0
20,11880371220,2024-07-13,Morning Hike,Hike,6253,5.12,157.0,24.0,6253.0,4842.0,157.0,117.25838470458984,24.0
21,11962619535,2024-07-19,Morning Workout in Orgeon!,Workout,3600,0,,,3600.0,3600.0,,,
22,11963731217,2024-07-23,60’ Erg,Rowing,4041,0,180.0,150.0,4041.0,4041.0,180.0,161.6493377685547,150.0
23,11968958750,2024-07-24,Morning Row,Rowing,3583,"6,875",174.0,42.0,3583.0,3529.0,174.0,137.10435485839844,42.0
24,11979940711,2024-07-24,Barre class 🔥,Workout,3600,0,,,3600.0,3600.0,,,
25,11987506906,2024-07-26,Mt. Bierstadt!!,Hike,18186,13.30,180.0,231.0,18186.0,13734.0,180.0,145.64674377441406,231.0
26,12023018996,2024-07-30,Morning Row,Rowing,3254,"4,259",163.0,33.0,3254.0,3080.0,163.0,137.07650756835938,33.0
27,12034747857,2024-07-31,Morning Row,Rowing,1800,"4,779",180.0,39.0,1800.0,1800.0,180.0,148.82992553710938,39.0
28,12036739806,2024-08-01,Morning Row,Rowing,2677,"7,879",183.0,70.0,2677.0,2631.0,183.0,153.83396911621094,70.0
29,12293915336,2024-08-31,Morning Row,Rowing,7028,"14,894",180.0,104.0,7028.0,6030.0,180.0,143.0952606201172,104.0
30,12333493571,2024-09-05,Morning Row,Rowing,4612,"12,783",194.0,69.0,4612.0,4560.0,194.0,141.9402313232422,69.0
31,12341436666,2024-09-06,Morning Row,Rowing,3458,"9,369",172.0,65.0,3458.0,3345.0,172.0,147.64352416992188,65.0
32,12367176898,2024-09-07,Morning Row,Rowing,7684,"21,761",190.0,141.0,7684.0,7512.0,190.0,147.04127502441406,141.0
33,12375504183,2024-09-10,Morning Row,Rowing,4897,"13,286",172.0,104.0,4897.0,4881.0,172.0,149.26495361328125,104.0
34,12392485522,2024-09-12,Morning Row,Rowing,4679,"12,168",175.0,75.0,4679.0,4600.0,175.0,143.30099487304688,75.0
35,12392565041,2024-09-11,Pairs Racing!,Rowing,5778,0,173.0,87.0,5778.0,5778.0,173.0,141.3251953125,87.0
36,12400708537,2024-09-13,Morning Row,Rowing,3729,"11,276",181.0,48.0,3729.0,3689.0,181.0,137.877197265625,48.0
37,12409693366,2024-09-14,Morning Row,Rowing,8211,"23,520",202.0,159.0,8211.0,7975.0,202.0,147.95684814453125,159.0
38,12451159244,2024-09-19,Morning Row,Rowing,1744,"4,772",157.0,14.0,1744.0,1714.0,157.0,127.97875213623048,14.0
39,12451159417,2024-09-17,Morning Row,Rowing,4484,"11,698",167.0,81.0,4484.0,4484.0,167.0,146.5820770263672,81.0
40,12459864108,2024-09-20,Tech Row and First 2k of the yr 🔥,Rowing,6433,0,181.0,117.0,6433.0,6433.0,181.0,142.21530151367188,117.0
41,12492801365,2024-09-24,Morning Row,Rowing,4514,"12,165",168.0,75.0,4514.0,4499.0,168.0,143.27996826171875,75.0
42,12501561676,2024-09-25,Morning Row,Rowing,5289,"12,668",205.0,94.0,5289.0,5233.0,205.0,147.53578186035156,94.0
43,12519862449,2024-09-27,Leapfrog and 500s 🔥,Rowing,7086,0,183.0,113.0,7086.0,7086.0,183.0,140.0750732421875,113.0
44,12525586663,2024-09-28,Morning Row,Rowing,8034,"23,409",198.0,175.0,8034.0,7846.0,198.0,149.59765625,175.0
45,12526421823,2024-09-23,30’ Test 😏,Rowing,1923,0,189.0,106.0,1923.0,1923.0,189.0,173.47894287109375,106.0
46,12540980778,2024-09-30,Morning Row,Rowing,6391,"17,727",172.0,142.0,6391.0,6299.0,172.0,151.06190490722656,142.0
47,12548723254,2024-10-01,Morning Row,Rowing,3925,"9,987",179.0,86.0,3925.0,3866.0,179.0,151.1746063232422,86.0
48,12552250090,2024-09-30,~AT~,Rowing,3545,0,182.0,114.0,3545.0,3545.0,182.0,156.42820739746094,114.0
49,12566647617,2024-10-03,Morning Row,Rowing,4717,"12,696",173.0,70.0,4717.0,4612.0,173.0,141.17547607421875,70.0
50,12661732809,2024-10-08,Morning Row,Rowing,3582,"8,396",166.0,50.0,3582.0,3383.0,166.0,142.328125,50.0
51,12661732871,2024-10-04,Morning Row,Rowing,5380,"13,620",201.0,89.0,5380.0,5325.0,201.0,144.7359161376953,89.0
52,12662352450,2024-10-15,Morning Row,Rowing,4500,"13,501",188.0,91.0,4500.0,4441.0,188.0,148.41986083984375,91.0
53,12669924014,2024-10-16,Morning Row,Rowing,4186,"11,033",180.0,108.0,4186.0,3788.0,180.0,155.25717163085938,108.0
54,12678399996,2024-10-17,Morning Row,Rowing,4713,"14,816",181.0,84.0,4713.0,4537.0,181.0,145.56394958496094,84.0
55,12678413597,2024-10-15,2k @ 28,Rowing,535,0,191.0,31.0,535.0,535.0,191.0,177.72897338867188,31.0
56,12695871331,2024-10-19,HEAD OF THE SPOKANE,Rowing,11391,"16,385",183.0,86.0,11391.0,6008.0,183.0,143.57591247558594,86.0
57,12710339011,2024-10-21,Morning Row,Rowing,6122,"17,641",177.0,128.0,6122.0,5825.0,177.0,149.72097778320312,128.0
58,12717644958,2024-10-22,Morning Row,Rowing,4028,"10,226",189.0,43.0,4028.0,3971.0,189.0,133.76589965820312,43.0
59,12727188966,2024-10-23,AT,Rowing,3929,0,184.0,124.0,3929.0,3929.0,184.0,155.8335418701172,124.0
60,12734521662,2024-10-24,Morning Row,Rowing,5316,"14,534",178.0,64.0,5316.0,5121.0,178.0,136.97706604003906,64.0
61,12751311140,2024-10-26,Morning Row,Rowing,7736,"21,574",171.0,107.0,7736.0,7421.0,171.0,141.09512329101562,107.0
62,12789934218,2024-10-31,Morning Row,Rowing,4239,"10,873",172.0,62.0,4239.0,3767.0,172.0,141.22427368164062,62.0
63,12790144528,2024-10-30,OYO,Ride,2582,0,148.0,26.0,2582.0,2582.0,148.0,135.81719970703125,26.0
64,12790145060,2024-10-30,Morning Elliptical,Elliptical,1512,0,136.0,6.0,1512.0,1512.0,136.0,127.35581970214844,6.0
65,12790145062,2024-10-30,Morning Ride,Ride,1506,0,157.0,37.0,1506.0,1506.0,157.0,150.071044921875,37.0
66,12790145401,2024-10-30,Morning Row,Rowing,1544,0,166.0,47.0,1544.0,1544.0,166.0,158.3419647216797,47.0
67,12790146726,2024-10-28,30’ Test,Rowing,4094,0,190.0,121.0,4094.0,4094.0,190.0,155.55496215820312,121.0
68,12790147219,2024-10-25,SS and 3x750m @2k pace,Rowing,5217,0,188.0,113.0,5217.0,5217.0,188.0,147.13916015625,113.0
69,12799117456,2024-11-01,Morning Row,Rowing,5882,"16,460",176.0,106.0,5882.0,5632.0,176.0,145.53517150878906,106.0
70,12862745020,2024-11-09,2k Prep!,Rowing,5091,0,185.0,91.0,5091.0,5091.0,185.0,143.9636688232422,91.0
71,12862745126,2024-11-06,AT,Rowing,3802,0,187.0,169.0,3802.0,3802.0,187.0,166.7267303466797,169.0
72,12862745241,2024-11-08,OYO x2 😋,Ride,2659,0,165.0,44.0,2659.0,2659.0,165.0,144.48777770996094,44.0
73,12862746124,2024-11-07,OYO,Ride,4286,0,166.0,88.0,4286.0,4286.0,166.0,147.58282470703125,88.0
74,12878743212,2024-11-11,Teti’s 20 (3rd time 🔥),Rowing,5508,0,191.0,203.0,5508.0,5508.0,191.0,161.2274932861328,203.0
75,12917733836,2024-11-02,Morning Row,Rowing,3388,"10,738",202.0,100.0,3388.0,3279.0,202.0,157.60079956054688,100.0
76,12998040526,2024-11-27,yay biking!,Ride,2764,0,166.0,64.0,2764.0,2764.0,166.0,148.22865295410156,64.0
77,13012148164,2024-11-29,Tree Hunting,Hike,5820,2.70,149.0,9.0,5820.0,2829.0,149.0,110.3170394897461,9.0
78,13017582925,2024-11-30,Saturday Bike!,Ride,4350,0,170.0,116.0,4350.0,4350.0,170.0,153.16644287109375,116.0
79,13031280473,2024-12-02,Christmas-Energized Biking,Ride,2856,0,176.0,108.0,2856.0,2856.0,176.0,163.686279296875,108.0
80,13042334724,2024-12-03,Checkpoint C (on berg),Ride,3022,0,183.0,82.0,3022.0,3022.0,183.0,153.16578674316406,82.0
81,13124345187,2024-12-15,Walk for Coffee + Crib!!,Walk,12313,10.86,,,12313.0,6722.0,,,
82,13144310089,2024-12-18,Bike + Erg,Ride,4660,0,175.0,137.0,4660.0,4660.0,175.0,156.15065002441406,137.0
83,13157070652,2024-12-20,🏃‍♀️ 🏃‍♀️ 🏃‍♀️,Run,1369,3.59,,,1369.0,1369.0,,,
84,13157082675,2024-12-20,walk and talk!,Walk,4255,5.86,139.0,14.0,4255.0,4184.0,139.0,115.58995819091795,14.0
85,13164789268,2024-12-21,yay erg!,Rowing,3512,0,192.0,158.0,3512.0,3512.0,192.0,168.03416442871094,158.0
86,13164789547,2024-12-21,gaga class 😏,Workout,3184,0,163.0,13.0,3184.0,3184.0,163.0,114.65641021728516,13.0
87,13183595375,2024-12-24,MERRY CHRISTMAS 🎄🎁!!!,Rowing,3353,0,180.0,137.0,3353.0,3353.0,180.0,164.32955932617188,137.0
88,13196704579,2024-12-26,humbling 30’ prep,Rowing,3462,0,187.0,123.0,3462.0,3462.0,187.0,161.05343627929688,123.0
89,13281489301,2025-01-06,Morning Row,Rowing,2836,0,187.0,85.0,2836.0,2836.0,187.0,156.034912109375,85.0
90,13281489597,2025-01-03,Afternoon Row,Rowing,3660,0,178.0,143.0,3660.0,3660.0,178.0,162.65628051757812,143.0
91,13281490366,2024-12-30,Morning Row,Rowing,2769,0,172.0,98.0,2769.0,2769.0,172.0,161.41928100585938,98.0
92,13281490427,2024-12-30,Morning Stair-Stepper,Stair-Stepper,1202,0,164.0,32.0,1202.0,1202.0,164.0,153.60897827148438,32.0
93,13292965882,2025-01-07,30’ test on the berg,Ride,5278,0,195.0,188.0,5278.0,5278.0,195.0,161.6960906982422,188.0
94,13294846958,2025-01-07,Afternoon Row,Rowing,5587,"16,114",182.0,83.0,5587.0,5475.0,182.0,141.1247100830078,83.0
95,13318302821,2025-01-10,Altitude Training on berg 🥵,Ride,3382,0,187.0,83.0,3382.0,3382.0,187.0,151.33885192871094,83.0
96,13318303584,2025-01-09,Stadiums 🏃‍♀️,Workout,1280,0,184.0,67.0,1280.0,1280.0,184.0,171.8054656982422,67.0
97,13318303711,2025-01-09,Circuit 💪🏻,Workout,1254,0,171.0,21.0,1254.0,1254.0,171.0,145.85885620117188,21.0
98,13318304129,2025-01-09,pilates 🧘‍♀️,Workout,1624,0,139.0,4.0,1624.0,1624.0,139.0,106.64286041259766,4.0
99,13318304135,2025-01-08,berg 🚴,Ride,2031,0,160.0,38.0,2031.0,2031.0,160.0,142.558837890625,38.0
100,13318304269,2025-01-08,tech on erg,Rowing,3706,0,154.0,12.0,3706.0,3706.0,154.0,109.392333984375,12.0
101,13318331709,2024-12-27,Lunch Hike,Hike,3192,3.95,172.0,25.0,3192.0,3119.0,172.0,129.39987182617188,25.0
102,13318331860,2025-01-08,Afternoon Row,Rowing,6321,"16,912",187.0,99.0,6321.0,6260.0,187.0,142.9749755859375,99.0
103,13318331903,2025-01-09,Afternoon Row,Rowing,6103,"15,048",175.0,70.0,6103.0,5925.0,175.0,135.9996337890625,70.0
104,13328241479,2025-01-11,Morning Row,Rowing,13600,"31,957",203.0,246.0,13600.0,10929.0,203.0,150.1250762939453,246.0
105,13328521962,2025-01-10,Altitude training pt2,Ride,1213,0,187.0,18.0,1213.0,1213.0,187.0,139.4814453125,18.0
106,13328522028,2025-01-10,OYO row,Rowing,2106,0,166.0,57.0,2106.0,2106.0,166.0,154.87037658691406,57.0
107,13328522190,2025-01-10,OYO bike,Ride,1807,0,152.0,23.0,1807.0,1807.0,152.0,139.9684600830078,23.0
108,13328522239,2025-01-10,OYO run,Run,954,2.33,158.0,24.0,954.0,954.0,158.0,151.1774444580078,24.0
109,13345773569,2025-01-13,LAST DAY OF WINTER CAMP,Rowing,7385,"21,661",188.0,157.0,7385.0,7202.0,188.0,150.41555786132812,157.0
110,13380735708,2025-01-14,OYO1 berg,Ride,1803,0,156.0,45.0,1803.0,1803.0,156.0,150.37271118164062,45.0
111,13380735907,2025-01-14,OYO1 run,Run,623,1.61,172.0,19.0,623.0,619.0,172.0,158.82705688476562,19.0
112,13380735995,2025-01-15,XTrain row,Rowing,1501,0,160.0,44.0,1501.0,1501.0,160.0,155.83010864257812,44.0
113,13380736218,2025-01-15,XTrain bike,Ride,1566,0,144.0,17.0,1566.0,1566.0,144.0,136.1890106201172,17.0
114,13380736234,2025-01-15,XTrain Stairs,Stair-Stepper,1163,0,138.0,5.0,1163.0,1163.0,138.0,131.52450561523438,5.0
115,13380736358,2025-01-16,OYO2 berg,Ride,1342,0,158.0,22.0,1342.0,1342.0,158.0,142.5812225341797,22.0
116,13380736532,2025-01-16,OYO2 row,Rowing,1261,0,172.0,34.0,1261.0,1261.0,172.0,154.72720336914062,34.0
117,13380736753,2025-01-17,2k @ 28,Rowing,4510,0,191.0,83.0,4510.0,4510.0,191.0,144.73880004882812,83.0
118,13383367058,2025-01-17,Afternoon Row,Rowing,5707,"16,454",176.0,122.0,5707.0,5650.0,176.0,150.0111846923828,122.0
119,13409490632,2025-01-20,ATish and Pilates,Rowing,3600,0,,,3600.0,3600.0,,,
120,13418957363,2025-01-21,XTrain Day 🔥,Workout,5083,0,174.0,95.0,5083.0,5083.0,174.0,144.66378784179688,95.0
121,13418957522,2025-01-21,OYO1 🚴,Ride,2687,0,151.0,42.0,2687.0,2687.0,151.0,143.0811309814453,42.0
122,13424084736,2025-01-22,6x500m w/ a cheeky burrito post workout (not pictured),Rowing,3979,0,205.0,82.0,3979.0,3979.0,205.0,147.32821655273438,82.0
123,13427876824,2025-01-23,Sunset Run!!,Run,1804,4.18,160.0,44.0,1804.0,1666.0,160.0,152.85169982910156,44.0
124,13427911199,2025-01-22,Wednesday Weights 🏋🏻,Weight Training,2863,0,148.0,9.0,2863.0,2863.0,148.0,109.7401351928711,9.0
125,13436669367,2025-01-23,OYO3,Ride,684,0,145.0,7.0,684.0,684.0,145.0,135.4780731201172,7.0
126,13436669414,2025-01-23,OYO2,Rowing,3105,0,152.0,37.0,3105.0,3105.0,152.0,136.91336059570312,37.0
127,13451340554,2025-01-25,5x1500 (24/28/Open/28/24),Rowing,7070,0,186.0,120.0,7070.0,7070.0,186.0,143.76406860351562,120.0
128,13451541466,2025-01-24,Afternoon Row,Rowing,5350,"16,098",177.0,104.0,5350.0,5036.0,177.0,146.5802459716797,104.0
129,13466692617,2025-01-27,"25’, 2x8’ @30’ pace, 20’",Rowing,5546,0,182.0,148.0,5546.0,5546.0,182.0,151.72195434570312,148.0
130,13485110987,2025-01-28,pilates 💪🏻,Workout,1782,0,102.0,3.0,1782.0,1782.0,102.0,87.97755432128906,3.0
131,13485111080,2025-01-28,tuesday walk w/ georgia :),Walk,2791,3.45,114.0,7.0,2791.0,2791.0,114.0,99.4872817993164,7.0
132,13485111186,2025-01-29,last 30’ of the season 🔥🔥🔥,Rowing,5466,0,198.0,127.0,5466.0,5466.0,198.0,151.5784912109375,127.0
133,13485111350,2025-01-28,circuit x stadiums/jump rope,Workout,3492,0,179.0,45.0,3492.0,3492.0,179.0,138.81729125976562,45.0
134,13488746685,2025-01-30,HUMP DAY RUN,Run,1474,3.75,163.0,38.0,1474.0,1456.0,163.0,153.51431274414062,38.0
135,13497518680,2025-01-29,Wednesday Weights,Weight Training,2901,0,138.0,7.0,2901.0,2901.0,138.0,101.5084457397461,7.0
136,13497518739,2025-01-30,OYO,Ride,2561,0,156.0,61.0,2561.0,2561.0,156.0,149.25302124023438,61.0
137,13506135018,2025-01-31,Afternoon Row,Rowing,4968,"14,341",175.0,59.0,4968.0,4679.0,175.0,134.59205627441406,59.0
138,13548002957,2025-01-31,gym date w/ roomie!,Workout,3017,0,133.0,9.0,3017.0,3017.0,133.0,112.01889038085938,9.0
139,13548003651,2025-02-03,~mondays~,Rowing,4079,0,175.0,80.0,4079.0,4079.0,175.0,144.51361083984375,80.0
140,13548003903,2025-02-04,xtraining and music trivia,Workout,5171,0,182.0,49.0,5171.0,5171.0,182.0,124.94488525390624,49.0
141,13548003915,2025-02-04,OYO,Ride,1950,0,162.0,36.0,1950.0,1950.0,162.0,145.62103271484375,36.0
142,13548004091,2025-02-05,2k prepared 😏,Rowing,4370,0,191.0,93.0,4370.0,4370.0,191.0,145.74966430664062,93.0
143,13550414696,2025-02-01,Morning Row,Rowing,8610,"19,963",175.0,72.0,8610.0,8050.0,175.0,129.33953857421875,72.0
144,13560178475,2025-02-06,Wed Weights!,Weight Training,3600,0,,,3600.0,3600.0,,,
145,13560181686,2025-02-06,OYO SWIM,Swim,3600,0,,,3600.0,3600.0,,,
146,13568986210,2025-02-07,NCAAs pt1 🔥,Rowing,2946,0,178.0,53.0,2946.0,2946.0,178.0,144.95010375976562,53.0
147,13574884213,2025-02-08,NCAAs pt2 🔥 🔥,Rowing,4015,0,183.0,43.0,4015.0,4015.0,183.0,133.1255340576172,43.0
148,13586690630,2025-02-09,Afternoon Snowshoe,Snowshoe,4337,3.10,160.0,20.0,4337.0,3595.0,160.0,121.77815246582033,20.0
149,13594041165,2025-02-10,looong monday,Rowing,5156,0,162.0,89.0,5156.0,5156.0,162.0,142.4691619873047,89.0
150,13600292286,2025-02-11,xtraining,Workout,4709,0,179.0,84.0,4709.0,4709.0,179.0,136.69271850585938,84.0
151,13609528979,2025-02-12,hump day 🐪,Rowing,5449,0,174.0,99.0,5449.0,5449.0,174.0,142.5428466796875,99.0
152,13643244845,2025-02-15,saturday 8s,Rowing,58017,"8,702",161.0,23.0,58017.0,3637.0,161.0,122.3851318359375,23.0
153,13645624941,2025-02-16,sunday 8s!,Rowing,5088,"13,397",165.0,24.0,5088.0,4834.0,165.0,119.30066680908205,24.0
154,13646640575,2025-02-16,sunday pair!,Rowing,3270,"3,413",150.0,10.0,3270.0,3086.0,150.0,112.7742691040039,10.0
155,13652295352,2025-02-17,sunday pair!!,Rowing,3898,"9,563",156.0,45.0,3898.0,3824.0,156.0,137.03707885742188,45.0
156,13655104612,2025-02-17,monday pair!,Rowing,1018,"1,874",155.0,7.0,1018.0,996.0,155.0,125.71885681152344,7.0
157,13655104787,2025-02-17,final pracy!,Rowing,4987,"11,477",168.0,45.0,4987.0,4608.0,168.0,131.25967407226562,45.0
